Date,Day,Month,CO,NO2,O3,PM25,Season,Season_Code,AQHI_PreviousDay,AQHI,AQHI_NextDay
2019-01-02,2,1,0.20458333333333334,13.083333333333332,22.583333333333332,6.625,Winter,0,1.7713274853976007,2.587735451319978,3.073903186055496
2019-01-03,3,1,0.28041666666666665,19.75,14.375,14.041666666666666,Winter,0,2.587735451319978,3.073903186055496,3.00565390360354
2019-01-04,4,1,0.3208333333333333,17.833333333333336,16.75,13.375,Winter,0,3.073903186055496,3.00565390360354,3.0543652239532677
2019-01-05,5,1,0.34750000000000003,20.791666666666668,6.041666666666667,20.875,Winter,0,3.00565390360354,3.0543652239532677,1.820001705258405
2019-01-06,6,1,0.15333333333333335,3.2916666666666665,27.041666666666664,2.9166666666666665,Winter,0,3.0543652239532677,1.820001705258405,2.73387858040651
2019-01-07,7,1,0.18583333333333332,15.458333333333334,23.958333333333336,3.916666666666667,Winter,0,1.820001705258405,2.73387858040651,2.984586254408245
2019-01-08,8,1,0.33571428571428574,19.208333333333332,14.583333333333334,12.791666666666668,Winter,0,2.73387858040651,2.984586254408245,1.9629525533703347
2019-01-09,9,1,0.2,7.583333333333334,21.041666666666668,4.958333333333333,Winter,0,2.984586254408245,1.9629525533703347,2.1174503709453694
2019-01-10,10,1,0.13208333333333333,2.9166666666666665,32.166666666666664,4.208333333333333,Winter,0,1.9629525533703347,2.1174503709453694,2.280261105710667
2019-01-11,11,1,0.13916666666666666,4.833333333333333,34.208333333333336,1.9583333333333333,Winter,0,2.1174503709453694,2.280261105710667,2.4293613091276747
2019-01-12,12,1,0.16041666666666668,8.875,29.416666666666668,3.208333333333333,Winter,0,2.280261105710667,2.4293613091276747,2.814225517322474
2019-01-13,13,1,0.265,16.541666666666668,20.5,7.458333333333334,Winter,0,2.4293613091276747,2.814225517322474,3.370204827449963
2019-01-14,14,1,0.32625,21.333333333333332,17.083333333333336,14.333333333333334,Winter,0,2.814225517322474,3.370204827449963,2.8313425983651
2019-01-15,15,1,0.24416666666666667,14.166666666666666,19.166666666666668,13.666666666666666,Winter,0,3.370204827449963,2.8313425983651,2.573636731226431
2019-01-16,16,1,0.23625000000000002,9.291666666666666,28.083333333333336,7.0,Winter,0,2.8313425983651,2.573636731226431,2.6664638246721752
2019-01-17,17,1,0.18625,13.375,25.166666666666668,4.791666666666667,Winter,0,2.573636731226431,2.6664638246721752,3.719868073510195
2019-01-18,18,1,0.32416666666666666,24.041666666666668,14.541666666666666,19.75,Winter,0,2.6664638246721752,3.719868073510195,2.4554182752135487
2019-01-19,19,1,0.19125,8.875,27.333333333333332,6.125,Winter,0,3.719868073510195,2.4554182752135487,2.3729446650873047
2019-01-20,20,1,0.19166666666666668,8.583333333333334,27.083333333333332,5.166666666666666,Winter,0,2.4554182752135487,2.3729446650873047,2.2374374919059448
2019-01-21,21,1,0.15041666666666667,5.75,31.291666666666664,2.6666666666666665,Winter,0,2.3729446650873047,2.2374374919059448,2.847165755289178
2019-01-22,22,1,0.1991666666666667,15.333333333333334,23.875,6.625,Winter,0,2.2374374919059448,2.847165755289178,4.1053414223977285
2019-01-23,23,1,0.385,32.666666666666664,8.375,19.0,Winter,0,2.847165755289178,4.1053414223977285,3.042578627045062
2019-01-24,24,1,0.37416666666666665,22.625,9.791666666666666,13.083333333333334,Winter,0,4.1053414223977285,3.042578627045062,2.427345554094167
2019-01-25,25,1,0.23458333333333334,9.958333333333334,27.375,3.5,Winter,0,3.042578627045062,2.427345554094167,2.7016463773098613
2019-01-26,26,1,0.20666666666666667,12.958333333333334,25.708333333333332,5.708333333333334,Winter,0,2.427345554094167,2.7016463773098613,2.9014834396620373
2019-01-27,27,1,0.2073809523809524,12.208333333333334,27.125,9.791666666666666,Winter,0,2.7016463773098613,2.9014834396620373,2.5594068666886347
2019-01-28,28,1,0.19083333333333333,10.375,28.333333333333336,4.458333333333334,Winter,0,2.9014834396620373,2.5594068666886347,3.3884993673125403
2019-01-29,29,1,0.31166666666666665,26.083333333333336,13.833333333333334,9.708333333333332,Winter,0,2.5594068666886347,3.3884993673125403,2.8055185381490673
2019-01-30,30,1,0.23416666666666666,12.25,28.041666666666664,6.666666666666667,Winter,0,3.3884993673125403,2.8055185381490673,2.3640012976800815
2019-01-31,31,1,0.18708333333333335,9.083333333333332,26.25,5.0,Winter,0,2.8055185381490673,2.3640012976800815,2.6164953544329386
2019-02-01,1,2,0.22875,10.583333333333334,28.833333333333332,4.791666666666667,Winter,0,2.3640012976800815,2.6164953544329386,3.4483736658790938
2019-02-02,2,2,0.2991666666666667,17.625,25.416666666666668,13.583333333333334,Winter,0,2.6164953544329386,3.4483736658790938,2.9956505983476456
2019-02-03,3,2,0.2725,16.541666666666668,20.625,11.166666666666666,Winter,0,3.4483736658790938,2.9956505983476456,3.7792370719908437
2019-02-04,4,2,0.37083333333333335,27.875,7.458333333333333,21.833333333333336,Winter,0,2.9956505983476456,3.7792370719908437,2.839951884020218
2019-02-05,5,2,0.2816666666666667,15.833333333333332,19.875,9.875,Winter,0,3.7792370719908437,2.839951884020218,2.657179655427229
2019-02-06,6,2,0.20875,15.083333333333334,23.458333333333332,3.5416666666666665,Winter,0,2.839951884020218,2.657179655427229,3.0686359801172176
2019-02-07,7,2,0.2525,18.333333333333332,17.708333333333332,12.791666666666666,Winter,0,2.657179655427229,3.0686359801172176,2.15341382614896
2019-02-08,8,2,0.21523809523809526,6.958333333333333,28.25,2.0833333333333335,Winter,0,3.0686359801172176,2.15341382614896,2.250772491696014
2019-02-09,9,2,0.14583333333333334,2.25,38.29166666666667,1.375,Winter,0,2.15341382614896,2.250772491696014,2.69137578018555
2019-02-10,10,2,0.21541666666666667,10.416666666666666,30.5,4.791666666666667,Winter,0,2.250772491696014,2.69137578018555,2.995233817206737
2019-02-11,11,2,0.21458333333333332,17.083333333333332,24.125,6.333333333333333,Winter,0,2.69137578018555,2.995233817206737,2.8542039244595037
2019-02-12,12,2,0.22041666666666668,14.916666666666668,25.666666666666668,5.583333333333333,Winter,0,2.995233817206737,2.8542039244595037,3.710734271788236
2019-02-13,13,2,0.3441666666666667,26.291666666666664,22.0,7.166666666666667,Winter,0,2.8542039244595037,3.710734271788236,3.071106837209763
2019-02-14,14,2,0.23291666666666666,18.041666666666668,25.166666666666668,4.916666666666666,Winter,0,3.710734271788236,3.071106837209763,3.240532266140618
2019-02-15,15,2,0.24041666666666667,16.583333333333336,28.0,8.125,Winter,0,3.071106837209763,3.240532266140618,2.2478742054229226
2019-02-16,16,2,0.15916666666666668,3.5,35.166666666666664,2.5833333333333335,Winter,0,3.240532266140618,2.2478742054229226,3.1102783093599657
2019-02-17,17,2,0.21875,15.375,27.916666666666668,7.541666666666667,Winter,0,2.2478742054229226,3.1102783093599657,3.0638141233775533
2019-02-18,18,2,0.18416666666666667,14.375,29.375,6.791666666666667,Winter,0,3.1102783093599657,3.0638141233775533,2.7692853363759404
2019-02-19,19,2,0.1991666666666667,13.0,28.125,4.458333333333334,Winter,0,3.0638141233775533,2.7692853363759404,3.804847616827773
2019-02-20,20,2,0.30041666666666667,25.958333333333336,19.5,12.541666666666666,Winter,0,2.7692853363759404,3.804847616827773,3.2636840074707276
2019-02-21,21,2,0.2625,17.833333333333332,24.791666666666668,9.875,Winter,0,3.804847616827773,3.2636840074707276,3.0374725986339017
2019-02-22,22,2,0.21083333333333334,13.5,31.125,5.875,Winter,0,3.2636840074707276,3.0374725986339017,3.7101418017185193
2019-02-23,23,2,0.27416666666666667,23.333333333333336,22.5,11.916666666666666,Winter,0,3.0374725986339017,3.7101418017185193,3.018765590998618
2019-02-24,24,2,0.23875000000000002,12.5,33.041666666666664,5.208333333333333,Winter,0,3.7101418017185193,3.018765590998618,2.4402792820682286
2019-02-25,25,2,0.16625,3.3333333333333335,37.75,4.083333333333333,Winter,0,3.018765590998618,2.4402792820682286,2.2310236907591046
2019-02-26,26,2,0.14958333333333335,3.166666666666667,34.895833333333336,3.125,Winter,0,2.4402792820682286,2.2310236907591046,2.758004840292039
2019-02-27,27,2,0.23333333333333334,15.375,23.0,5.583333333333334,Winter,0,2.2310236907591046,2.758004840292039,3.244204838854722
2019-02-28,28,2,0.28500000000000003,19.125,21.333333333333336,11.0,Winter,0,2.758004840292039,3.244204838854722,3.803238282687655
2019-03-01,1,3,0.32875,25.0,21.708333333333332,11.666666666666668,Spring,1,3.244204838854722,3.803238282687655,4.097397890026277
2019-03-02,2,3,0.37,21.25,26.208333333333332,19.708333333333332,Spring,1,3.803238282687655,4.097397890026277,3.1802851775877023
2019-03-03,3,3,0.21625,9.416666666666668,37.666666666666664,9.0,Spring,1,4.097397890026277,3.1802851775877023,2.827273773248276
2019-03-04,4,3,0.21416666666666667,9.083333333333334,34.166666666666664,6.0,Spring,1,3.1802851775877023,2.827273773248276,3.211711470364115
2019-03-05,5,3,0.26083333333333336,13.895833333333332,32.0,7.916666666666667,Spring,1,2.827273773248276,3.211711470364115,2.7199934200027456
2019-03-06,6,3,0.21916666666666668,8.208333333333334,33.208333333333336,6.375,Spring,1,3.211711470364115,2.7199934200027456,2.974580532395916
2019-03-07,7,3,0.285,17.083333333333332,23.0,7.083333333333333,Spring,1,2.7199934200027456,2.974580532395916,2.992800631321403
2019-03-08,8,3,0.21375,8.875,37.916666666666664,5.708333333333333,Spring,1,2.974580532395916,2.992800631321403,3.329462878382266
2019-03-09,9,3,0.22208333333333333,13.291666666666666,35.125,8.041666666666666,Spring,1,2.992800631321403,3.329462878382266,3.045606778204938
2019-03-10,10,3,0.2366666666666667,11.166666666666666,36.0,4.875,Spring,1,3.329462878382266,3.045606778204938,3.4892347047754435
2019-03-11,11,3,0.19291666666666668,13.291666666666666,41.25,4.25,Spring,1,3.045606778204938,3.4892347047754435,2.4961420878940004
2019-03-12,12,3,0.17,6.291666666666666,34.208333333333336,3.9166666666666665,Spring,1,3.4892347047754435,2.4961420878940004,4.005325575923058
2019-03-13,13,3,0.2541666666666667,18.791666666666668,31.666666666666668,16.25,Spring,1,2.4961420878940004,4.005325575923058,4.005560796282186
2019-03-14,14,3,0.27,22.833333333333336,27.541666666666664,13.583333333333334,Spring,1,4.005325575923058,4.005560796282186,2.9221062338195556
2019-03-15,15,3,0.21791666666666665,8.625,37.5,5.125,Spring,1,4.005560796282186,2.9221062338195556,2.2876847649034735
2019-03-16,16,3,0.1575,2.7916666666666665,37.458333333333336,2.125,Spring,1,2.9221062338195556,2.2876847649034735,2.3691528612471515
2019-03-17,17,3,0.14625,2.5833333333333335,39.708333333333336,1.7083333333333333,Spring,1,2.2876847649034735,2.3691528612471515,2.7137563470284554
2019-03-18,18,3,0.16291666666666668,8.166666666666666,35.666666666666664,3.5416666666666665,Spring,1,2.3691528612471515,2.7137563470284554,3.552889433643477
2019-03-19,19,3,0.27499999999999997,21.416666666666668,25.541666666666664,8.583333333333334,Spring,1,2.7137563470284554,3.552889433643477,3.8791308492054024
2019-03-20,20,3,0.325,21.0,28.5,13.104166666666668,Spring,1,3.552889433643477,3.8791308492054024,3.3329961226144214
2019-03-21,21,3,0.22875,12.0,35.291666666666664,10.25,Spring,1,3.8791308492054024,3.3329961226144214,2.9343097960044426
2019-03-22,22,3,0.21625,12.458333333333334,31.916666666666668,4.625,Spring,1,3.3329961226144214,2.9343097960044426,2.433265977651914
